Interaction_ID,Herb_Name_encoded,Compound_Name_encoded,Target_Name_encoded,Action_Type_encoded,Species_encoded,pKi,pIC50,Bioactivity_Strength,Weighted_Bioactivity,Data_Quality_Score,Confidence_Score,Is_Synthetic,Property_neuroprotective,Property_metabolism_booster,Property_nootropic,Property_antimicrobial,Property_galactagogue,Property_anti-inflammatory,Property_reproductive_health,Property_hepatoprotective,Property_energy_booster,Property_digestive,Property_adaptogenic,Property_immunomodulatory,Property_analgesic,Property_antioxidant,Property_cardioprotective,Property_hypoglycemic,Property_bioenhancer,Property_cognitive_enhancer,Property_anti-arthritic,Property_hypolipidemic,Ki_nM,IC50_nM
c6c886146d06cec6,6,40,207,1,1,5.356547323513812,5.68402231149342,5.356547323513812,5.142285430573259,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4400.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.031059648753282,3.9208187539523753,3.9208187539523753,3.76398600379428,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,120000.0
583c688f8df75cf2,6,0,229,1,1,6.031059648753282,6.431798275933005,6.431798275933005,3.3445351034851627,0.52,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,370.0
ad780e0ff830453e,6,1,229,1,1,6.031059648753282,6.251811972993799,6.251811972993799,3.2509422259567757,0.52,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,560.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,3.886056647693163,3.886056647693163,3.7306143817854363,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,130000.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,4.522878745280337,4.522878745280337,4.341963595469124,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,30000.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,4.301029995663981,4.301029995663981,4.128988795837422,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,50000.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,4.301029995663981,4.301029995663981,4.128988795837422,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,50000.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,3.6989700043360187,3.6989700043360187,3.551011204162578,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,200000.0
756b0b23e0e971d0,6,38,164,1,1,6.031059648753282,4.221848749616356,4.221848749616356,4.052974799631702,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,60000.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,4.455931955649724,4.455931955649724,4.277694677423735,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,35000.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,4.346787486224656,4.346787486224656,4.17291598677567,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,45000.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,4.958607314841775,4.958607314841775,4.760263022248103,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,11000.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,5.1249387366083,5.1249387366083,4.9199411871439676,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,7500.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,4.7447274948966935,4.7447274948966935,4.554938395100826,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,18000.0
ac9ae08e0ff67540,6,38,167,1,1,6.031059648753282,4.823908740944319,4.823908740944319,4.630952391306546,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,15000.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.549750891680639,5.549750891680639,5.3277608560134135,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2820.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.6777807052660805,5.6777807052660805,5.450669477055437,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2100.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.552841968657781,6.552841968657781,6.290728289911469,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,280.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.443697499232712,5.443697499232712,5.225949599263403,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,3600.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.119186407719209,6.119186407719209,5.87441895141044,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,760.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,7.292429823902063,7.292429823902063,7.00073263094598,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,51.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.774690718274137,6.774690718274137,6.503703089543171,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,168.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.841637507904751,6.841637507904751,6.56797200758856,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,144.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.167491087293763,6.167491087293763,5.920791443802012,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,680.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.289882634888183,5.289882634888183,5.078287329492656,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,5130.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.97469413473523,6.97469413473523,6.69570636934582,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,106.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,6.823908740944319,6.823908740944319,6.550952391306546,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,150.0
2e9aab58b07184e7,6,40,76,1,1,6.031059648753282,5.94692155651658,5.94692155651658,5.709044694255916,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,1130.0
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
f0c11fdaab55b736,6,40,510,1,1,6.031059648753282,5.68402231149342,5.964520230812376,5.725939421579881,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,930.98,2070.035
